iteration_num,svm,decision_trees,neural_net,,,,,,,,
185,0.2,0.4782608696,0.44,,,,,,,,
186,0.0689655172,0.1304347826,0.1304347826,,,,,,,,
187,0.3076923077,0.243902439,0.243902439,,,,,,,,
188,0.3076923077,0.3636363636,0.3636363636,,,,,,,,
189,0.4081632653,0.3125,0.3125,,,,,,,,
190,0.2962962963,0.2352941176,0.2777777778,,,,,,,,
191,0.3333333333,0.3913043478,0.3913043478,,,,,,,,
192,0.6086956522,0.4761904762,0.4347826087,,,,,,,,
193,0.4,0.4324324324,0.4324324324,,,,,,,,
194,0.2666666667,0.4444444444,0.4444444444,,,,,,,,
195,0.3636363636,0.2040816327,0.2040816327,,,,,,,,
196,0.4285714286,0.5777777778,0.5652173913,,,,,,,,
197,0.35,0.5283018868,0.5283018868,,,,,,,,
198,0.2352941176,0.2222222222,0.2222222222,,,,,,,,
199,0.2857142857,0.3859649123,0.393442623,,,,,,,,
200,0.3636363636,0.3333333333,0.3265306122,,,,,,,,
201,0.4516129032,0.4897959184,0.4897959184,,,,,,,,
202,0.5454545455,0.3529411765,0.3888888889,,,,,,,,
203,0.2068965517,0.2702702703,0.3,,,,,,,,
204,0.1052631579,0.1428571429,0.1935483871,,,,,,,,
205,0.4848484848,0.5333333333,0.5333333333,,,,,,,,
206,0.1666666667,0.3125,0.3125,,,,,,,,
207,0.1666666667,0.1875,0.1764705882,,,,,,,,
208,0.2222222222,0.3636363636,0.3404255319,,,,,,,,
209,0.2702702703,0.2181818182,0.2033898305,,,,,,,,
210,0.1481481481,0.1538461538,0.1428571429,,,,,,,,
211,0.3448275862,0.3673469388,0.3673469388,,,,,,,,
212,0.4651162791,0.3142857143,0.3287671233,,,,,,,,
213,0.4615384615,0.44,0.44,,,,,,,,
214,0.4545454545,0.3235294118,0.3235294118,,,,,,,,
215,0.303030303,0.4,0.3829787234,,,,,,,,
216,0.1818181818,0.3880597015,0.3880597015,,,,,,,,
217,0.5,0.4375,0.4375,,,,,,,,
218,0.2222222222,0.5283018868,0.5090909091,,,,,,,,
219,0.2941176471,0.3939393939,0.3939393939,,,,,,,,
220,0.2553191489,0.3835616438,0.3835616438,,,,,,,,
221,0.375,0.36,0.3333333333,,,,,,,,
222,0.0909090909,0.0625,0.0625,,,,,,,,
223,0.3448275862,0.2631578947,0.2631578947,,,,,,,,
224,0.3225806452,0.2978723404,0.2978723404,,,,,,,,
225,0.1,0.25,0.25,,,,,,,,
226,0.2857142857,0.4482758621,0.4482758621,,,,,,,,
227,0.4137931034,0.3636363636,0.3636363636,,,,,,,,
228,0.1379310345,0.2857142857,0.28,,,,,,,,
229,0.2608695652,0.1860465116,0.1860465116,,,,,,,,
230,0.3333333333,0.2941176471,0.2777777778,,,,,,,,
231,0.2068965517,0.1428571429,0.1428571429,,,,,,,,
232,0.1428571429,0.511627907,0.511627907,,,,,,,,
233,0.2222222222,0.2941176471,0.2857142857,,,,,,,,
234,0.3157894737,0.3448275862,0.3448275862,,,,,,,,
235,0.2631578947,0.2985074627,0.2985074627,,,,,,,,
236,0.1111111111,0.3529411765,0.3529411765,,,,,,,,
237,0.1621621622,0.4166666667,0.4166666667,,,,,,,,
238,0.3333333333,0.2631578947,0.2631578947,,,,,,,,
239,0.32,0.2424242424,0.2424242424,,,,,,,,
240,0.16,0.1621621622,0.1621621622,,,,,,,,
241,0.4,0.2150537634,0.2150537634,,,,,,,,
242,0.3,0.1875,0.1764705882,,,,,,,,
243,0.0666666667,0.1621621622,0.1538461538,,,,,,,,
244,0.1176470588,0.1777777778,0.2222222222,,,,,,,,
245,0.5641025641,0.4444444444,0.4444444444,,,,,,,,
246,0.4,0.431372549,0.431372549,,,,,,,,
247,0.2857142857,0.3333333333,0.3333333333,,,,,,,,
248,0.1481481481,0.1951219512,0.1860465116,,,,,,,,
249,0.1860465116,0.3333333333,0.3225806452,,,,,,,,
250,0.3448275862,0.3333333333,0.4081632653,,,,,,,,
251,0.3243243243,0.3043478261,0.4081632653,,,,,,,,
252,0.3333333333,0.3555555556,0.3555555556,,,,,,,,
253,0.1538461538,0.3076923077,0.3076923077,,,,,,,,
254,0.3,0.2857142857,0.275862069,,,,,,,,
255,0.275862069,0.2380952381,0.3673469388,,,,,,,,
256,0.375,0.3181818182,0.3043478261,,,,,,,,
257,0.303030303,0.3043478261,0.2916666667,,,,,,,,
258,0.32,0.2727272727,0.2727272727,,,,,,,,
259,0.3333333333,0.2631578947,0.2631578947,,,,,,,,
260,0.2352941176,0.2413793103,0.2333333333,,,,,,,,
261,0.4,0.2916666667,0.28,,,,,,,,
262,0.2857142857,0.170212766,0.1923076923,,,,,,,,
263,0.4,0.4736842105,0.4615384615,,,,,,,,
264,0.3870967742,0.3157894737,0.3,,,,,,,,
265,0.24,0.3125,0.3529411765,,,,,,,,
266,0.3846153846,0.2941176471,0.2941176471,,,,,,,,
267,0.2,0.1875,0.2352941176,,,,,,,,
268,0,0.1538461538,0.1481481481,,,,,,,,
269,0.375,0.3414634146,0.3333333333,,,,,,,,
270,0.3846153846,0.3157894737,0.2857142857,,,,,,,,
271,0.2083333333,0.21875,0.2388059701,,,,,,,,
272,0.4117647059,0.2916666667,0.3529411765,,,,,,,,
273,0.2307692308,0.1714285714,0.1714285714,,,,,,,,
274,0.1052631579,0.2424242424,0.2777777778,,,,,,,,
275,0.3555555556,0.301369863,0.2933333333,,,,,,,,
276,0.2564102564,0.3555555556,0.3555555556,,,,,,,,
277,0.1951219512,0.2857142857,0.2857142857,,,,,,,,
278,0.347826087,0.2380952381,0.2727272727,,,,,,,,
279,0.6086956522,0.4324324324,0.4324324324,,,,,,,,
280,0.2162162162,0.2181818182,0.2181818182,,,,,,,,
281,0.2857142857,0.2745098039,0.2745098039,,,,,,,,
282,0.0952380952,0.1025641026,0.0975609756,,,,,,,,
283,0.2941176471,0.2307692308,0.2333333333,,,,,,,,
284,0.3333333333,0.3076923077,0.3414634146,,,,,,,,
285,0.2105263158,0.25,0.275862069,,,,,,,,
286,0.4545454545,0.3703703704,0.3448275862,,,,,,,,
287,0.2424242424,0.2388059701,0.2388059701,,,,,,,,
288,0.2857142857,0.2,0.2,,,,,,,,
289,0.25,0.2051282051,0.2051282051,,,,,,,,
290,0.3846153846,0.2380952381,0.2380952381,,,,,,,,
